time,x,y,z,vel_x,vel_y,vel_z,lat,lon,alt,track_id,uav_category
1970-01-01 00:00:29.900000000,42.645850407466625,177.0631474941547,308.0586310180297,-0.07069983497611916,0.008979375833416235,3.1434651415889627,40.45906514017221,-79.7827682597299,308.06123709106447,0,LSS
1970-01-01 00:00:31.000000000,42.57153703322504,177.07258581486633,311.3627618064704,-0.07069983497611916,0.008979375833416235,3.1434651415889627,40.45906522434048,-79.78276913608455,311.3653676452637,0,LSS
1970-01-01 00:00:32.000000000,42.52303886531832,177.05133090617608,314.3656847800855,-0.04613991091970476,-0.02022137404161188,2.856903765268423,40.45906503218914,-79.78276970807624,314.3682897033692,0,LSS
1970-01-01 00:00:33.100000000,42.497749028895996,177.0309796601602,317.6970949708171,-0.02406010061955796,-0.01936165259033316,3.1694180640594736,40.459064848092005,-79.7827700064857,317.69969915771486,0,LSS
1970-01-01 00:00:34.100000000,42.50345337532885,177.00581273729722,320.7238404773811,0.005426968638761484,-0.023943163817122446,2.8795679110617223,40.459064620704495,-79.78276993947523,320.72644400024416,0,LSS
1970-01-01 00:00:35.200000000,42.51710789858023,177.0130074479522,324.03807968967715,0.01299056260601915,0.006844862868880128,3.1530820363368464,40.45906468466208,-79.78276977875916,324.0406835021973,0,LSS
1970-01-01 00:00:36.200000000,42.512901194658326,177.03142930952453,327.0699777041857,-0.004002150031635131,0.017526085800962293,2.8844698747406854,40.45906484979195,-79.78276982858941,327.07258200073244,0,LSS
1970-01-01 00:00:37.300000000,42.510967083423644,177.0283627625052,330.3868456319714,-0.001840063737019434,-0.0029174340477169836,3.1555829287161132,40.4590648213467,-79.78276985165144,330.38944982910164,0,LSS
1970-01-01 00:00:38.300000000,42.47819403834652,177.04110364759526,333.4268998194722,-0.031179433073311297,0.0121213507327655,2.892229448175122,40.45906493531851,-79.78277023825574,333.42950415039064,0,LSS
1970-01-01 00:00:39.410000000,42.442035613871184,177.05650338481485,336.7676589090353,-0.03440019605478279,0.01465091433690806,3.178312366213512,40.459065073158,-79.78277066479383,336.7702634277344,0,LSS
1970-01-01 00:00:40.400000000,42.41322539506294,177.06276216382247,339.7998244548529,-0.02740930197500187,0.005954441545777388,2.884724397154662,40.45906512875997,-79.78277100467884,339.80242895507814,0,LSS
1970-01-01 00:00:41.500000000,42.41190764165986,177.0630624910603,342.573689201968,-0.0012536767316475856,0.00028572361798486965,2.6389836535961595,40.45906513076937,-79.78277102043114,342.5762937011719,0,LSS
1970-01-01 00:00:42.500000000,42.45769347063998,177.05029569510197,344.567761213766,0.043559461351010784,-0.0121460016671196,1.8971088798404567,40.45906501530239,-79.78277048081263,344.5703656616211,0,LSS
1970-01-01 00:00:43.600000000,42.41627298964666,177.04393161288453,344.93114209874113,-0.03940638143195519,-0.006054624314112095,0.3457112378950739,40.45906495790493,-79.78277096915328,344.93374609375,0,LSS
1970-01-01 00:00:44.600000000,42.57158054243594,176.9021823882369,345.0405581557669,0.147755615524223,-0.13485657047413638,0.10409562551032453,40.45906368141864,-79.78276913822927,345.0431592407227,0,LSS
1970-01-01 00:00:45.700000000,44.95007185480557,177.32263907925307,345.2443189140098,2.26283552580996,0.4000116933570006,0.19385275032121166,40.45906746745239,-79.78274109785612,345.2469479980469,0,LSS
1970-01-01 00:00:46.700000000,50.26848468456264,179.44176061648017,345.27048023749745,5.05980132427219,2.0160777855308356,0.02488921102305686,40.45908654981767,-79.78267839819107,345.27320837402345,0,LSS
1970-01-01 00:00:47.800000000,57.06834394300668,182.85443256550982,345.1243832560633,6.4692113948422625,3.2467284131073297,-0.13899291457718652,40.45911728050624,-79.78259823337142,345.1272656860352,0,LSS
1970-01-01 00:00:48.800000000,65.56711297522858,187.04981833943447,344.9847983084518,8.08551050481053,3.9913822364380565,-0.13279753290710927,40.45915505933992,-79.7824980396895,344.98788427734377,0,LSS
1970-01-01 00:00:49.900000000,76.27724491881678,192.22857661035414,344.94518025054134,10.189344363809527,4.926937565033258,-0.03769160241919765,40.45920169312472,-79.78237177567559,344.9485394897461,0,LSS
1970-01-01 00:00:50.900000000,86.73972180172564,196.87492410147374,345.0008891685993,9.953731701893387,4.420415627958987,0.053000033353255496,40.459243532415215,-79.78224843122098,345.0045239868164,0,LSS
1970-01-01 00:00:52.000000000,94.59764322215506,200.44447672480243,345.01244596157767,7.475824551764201,3.395980656018908,0.010994835919663833,40.45927567535482,-79.78215579233056,345.0163037719727,0,LSS
1970-01-01 00:00:53.000000000,101.64308175366331,203.68044352183261,344.78033952204976,6.702849205753012,3.0786156714468667,-0.22082010323163861,40.459304814451535,-79.78207273186672,344.78440832519533,0,LSS
1970-01-01 00:00:54.100000000,110.57813018087617,207.8012164463447,344.6200923267621,8.50057551220838,3.920397488478473,-0.15245506448666082,40.45934192089454,-79.78196739422455,344.6244428100586,0,LSS
1970-01-01 00:00:55.100000000,119.66565604526787,212.13664859442693,344.5963632310573,8.645638628452842,4.1246187587059975,-0.022575251999858312,40.459380960185385,-79.78186025886492,344.6010205688477,0,LSS
1970-01-01 00:00:56.200000000,129.84248605438245,216.81279349587254,344.75645300854825,9.681974605074615,4.448764118580827,0.15230530123931027,40.45942306726759,-79.78174028133016,344.76146673583986,0,LSS
1970-01-01 00:00:57.200000000,138.98729607446398,220.99342637689807,344.9046076457214,8.700137302417668,3.9773467131687625,0.14095051538148654,40.45946071231707,-79.7816324704548,344.90995764160164,0,LSS
