time,lat,lon,alt,x,y,z,vel_x,vel_y,vel_z,track_id,uav_category
2022-08-17 16:06:53,22.9028035,120.2731216,9.733,93.12634404186215,88.3841294817173,9.731704909584597,-1.6654645568298179,-1.2809336300987013,0.13570846725007613,0,LSS
2022-08-17 16:06:54,22.902791933333333,120.27310536666667,9.868666666666668,91.46087948503234,87.1031958516186,9.867413376834673,-1.6654645568298179,-1.2809336300987013,0.13570846725007613,0,LSS
2022-08-17 16:06:55,22.90278036666667,120.27308913333333,10.004333333333333,89.79541457255405,85.82226235349317,10.003121152371016,-1.665464912478285,-1.280933498125421,0.13570777553634272,0,LSS
2022-08-17 16:06:56,22.9027688,120.2730729,10.14,88.12994930958988,84.54132898569287,10.138828232915419,-1.665465262964176,-1.2809333678003014,0.13570708054440317,0,LSS
2022-08-17 16:06:57,22.902752,120.27305056666667,10.172333333333334,85.83865003229909,82.68083668046712,10.171217316320888,-2.29129927729079,-1.8604923052257476,0.03238908340546942,0,LSS
2022-08-17 16:06:58,22.902735200000002,120.27302823333333,10.204666666666666,83.54735016780293,80.8203447084775,10.203605029379155,-2.2912998644961533,-1.8604919719896174,0.0323877130582666,0,LSS
2022-08-17 16:06:59,22.9027184,120.2730059,10.237,81.25604971509509,78.95985306869362,10.235991374529252,-2.291300452707844,-1.8604916397838878,0.03238634515009764,0,LSS
2022-08-17 16:07:00,22.9027016,120.2729873,10.175333333333333,79.34777270465496,77.09936262631405,10.174371600134073,-1.9082770104401305,-1.8604904423795716,-0.061619774395179405,0,LSS
2022-08-17 16:07:01,22.9026848,120.2729687,10.113666666666667,77.43949526407631,75.2388724657481,10.112750711132257,-1.9082774405786438,-1.860490160565945,-0.061620889001815726,0,LSS
2022-08-17 16:07:02,22.902668,120.2729501,10.052,75.5312173875942,73.3783825853212,10.051128705504706,-1.908277876482117,-1.860489880426897,-0.0616220056275516,0,LSS
2022-08-17 16:07:03,22.902650474999998,120.272949075,10.051,75.4260661079867,71.43761401690134,10.050152096383165,-0.10515127960749737,-1.9407685684198697,-0.000976609121540406,0,LSS
2022-08-17 16:07:04,22.902632949999997,120.27294805,10.05,75.32091480111258,69.49684545477143,10.049174890828787,-0.10515130687412011,-1.9407685621299038,-0.000977205554377747,0,LSS
2022-08-17 16:07:05,22.902615425,120.27294702500001,10.049,75.21576346764154,67.55607689836903,10.048197091369596,-0.10515133347104211,-1.9407685564024035,-0.0009777994591910755,0,LSS
2022-08-17 16:07:06,22.9025979,120.272946,10.048,75.11061210636707,65.61530834753924,10.047218697175653,-0.10515136127446567,-1.9407685508297874,-0.0009783941939431884,0,LSS
2022-08-17 16:07:07,22.902572866666667,120.2729465,10.041666666666666,75.1619238833002,62.84304648150453,10.040912822168668,0.051311776933133046,-2.772261866034711,-0.0063058750069853176,0,LSS
2022-08-17 16:07:08,22.902547833333333,120.272947,10.035333333333334,75.21323567616211,60.070784630406706,10.034605735554416,0.051311792861909566,-2.7722618510978236,-0.006307086614251389,0,LSS
2022-08-17 16:07:09,22.9025228,120.2729475,10.029,75.26454748998077,57.29852279350469,10.028297436693848,0.051311813818657015,-2.772261836902018,-0.006308298860568939,0,LSS
2022-08-17 16:07:10,22.902517,120.2729467,9.995666666666667,75.18247336074079,56.65621370828249,9.994970839277483,-0.08207412923998447,-0.6423090852221947,-0.03332659741636412,0,LSS
2022-08-17 16:07:11,22.9025112,120.2729459,9.962333333333333,75.10039922521688,56.01390463040121,9.961644175424164,-0.08207413552391074,-0.6423090778812863,-0.033326663853319616,0,LSS
2022-08-17 16:07:12,22.9025054,120.2729451,9.929,75.01832508602396,55.37159556009685,9.928317443378626,-0.08207413919291184,-0.642309070304357,-0.03332673204553771,0,LSS
2022-08-17 16:07:13,22.902521433333334,120.2729311,9.954666666666666,73.58197024246734,57.1471653083089,9.95398509179928,-1.4363548435566287,1.7755697482120496,0.025667648420654388,0,LSS
2022-08-17 16:07:14,22.902537466666665,120.2729171,9.980333333333334,72.14561573057156,58.92273521011932,9.979651919538895,-1.4363545118957717,1.775569901810421,0.025666827739614817,0,LSS
2022-08-17 16:07:15,22.9025535,120.2729031,10.006,70.70926154209135,60.698305267428935,10.005317925687832,-1.436354188480209,1.775570057309615,0.02566600614893666,0,LSS
2022-08-17 16:07:16,22.902570633333333,120.27288533333333,10.056666666666667,68.88646196741094,62.595691064766726,10.055986095432395,-1.8227995746804169,1.8973857973377903,0.05066816974456323,0,LSS
2022-08-17 16:07:17,22.902587766666667,120.27286756666666,10.107333333333333,67.06366282180939,64.49307711715824,10.10665317681931,-1.8227991456015502,1.8973860523915107,0.05066708138691567,0,LSS
2022-08-17 16:07:18,22.9026049,120.2728498,10.158,65.24086410528672,66.39046342374557,10.157319169486131,-1.8227987165226693,1.897386306587336,0.05066599266682026,0,LSS
2022-08-17 16:07:19,22.902624833333334,120.27283276666667,10.148666666666667,63.493301054458954,68.59792957205866,10.147979983632816,-1.7475630508277646,2.207466148313088,-0.009339185853315612,0,LSS
2022-08-17 16:07:20,22.902644766666665,120.27281573333333,10.139333333333333,61.74573851687772,70.80539592133232,10.13863954908701,-1.7475625375812314,2.207466349273659,-0.009340434545805465,0,LSS
2022-08-17 16:07:21,22.9026647,120.2727987,10.13,59.998176497436305,73.01286247216157,10.129297868030058,-1.7475620194414176,2.2074665508292526,-0.009341681056952211,0,LSS
2022-08-17 16:07:22,22.9026838,120.2727802,10.131666666666668,58.10014124606376,75.128043085202,10.130957405344724,-1.8980352513725478,2.1151806130404225,0.0016595373146657266,0,LSS
