time,lat,lon,alt,x,y,z,vel_x,vel_y,vel_z,track_id,uav_category
2022-08-17 12:05:31,22.9028703,120.2731823,18.904,108.23883005909829,145.8156624258636,18.901406565307887,-0.7250014131220723,-0.5574024412512131,0.39702504097542857,0,LSS
2022-08-17 12:05:32,22.902865266666666,120.27317523333333,19.301,107.51382864597622,145.25825998461238,19.298431606283316,-0.7250014131220723,-0.5574024412512131,0.39702504097542857,0,LSS
2022-08-17 12:05:33,22.902860233333335,120.27316816666666,19.698,106.78882709042782,144.70085751029742,19.695456516118064,-0.7250015555484026,-0.557402474314955,0.39702490983474803,0,LSS
2022-08-17 12:05:34,22.9028552,120.2731611,20.095,106.06382538990545,144.1434550009423,20.092481294704193,-0.7250017005223697,-0.5574025093551143,0.39702477858612895,0,LSS
2022-08-17 12:05:35,22.902840100000002,120.2731411,20.1465,104.01191618553469,142.47122252548976,20.14405283794921,-2.0519092043707587,-1.672232475452546,0.05157154324501789,0,LSS
2022-08-17 12:05:36,22.902825,120.2731211,20.198,101.96000649316343,140.7989903047271,20.195623280512542,-2.051909692371254,-1.6722322207626519,0.05157044256333165,0,LSS
2022-08-17 12:05:37,22.9028145,120.27310753333333,20.186666666666667,100.56812693656155,139.63617916599873,20.18433773006084,-1.3918795566018787,-1.1628111387283866,-0.011285550451702875,0,LSS
2022-08-17 12:05:38,22.902804,120.27309396666666,20.175333333333334,99.1762471670572,138.4733681605133,20.17305166317135,-1.3918797695043565,-1.1628110054854233,-0.011286066889489632,0,LSS
2022-08-17 12:05:39,22.9027935,120.2730804,20.164,97.78436719168907,137.31055728878894,20.16176508101111,-1.391879975368127,-1.1628108717243606,-0.011286582160238368,0,LSS
2022-08-17 12:05:40,22.90277845,120.27306185,20.128,95.8812191022121,135.64386210045632,20.125829807977947,-1.9031480894769714,-1.6666951883326249,-0.03593527303316435,0,LSS
2022-08-17 12:05:41,22.9027634,120.2730433,20.092,93.97807061434105,133.9771671746306,20.08989353063426,-1.90314848787105,-1.666694925825709,-0.035936277343687095,0,LSS
2022-08-17 12:05:42,22.902753866666668,120.2730299,20.064,92.60328831174539,132.92140813629973,20.06193583435758,-1.374782302595662,-1.0557590383308764,-0.027957696276679656,0,LSS
2022-08-17 12:05:43,22.902744333333334,120.2730165,20.035999999999998,91.22850583009102,131.8656492339776,20.03397766415748,-1.3747824816543641,-1.0557589023221396,-0.02795817020010105,0,LSS
2022-08-17 12:05:44,22.9027348,120.2730031,20.008,89.85372316501969,130.80989046741377,20.00601902301983,-1.3747826650713364,-1.0557587665638266,-0.02795864113764779,0,LSS
