time,x,y,z,vel_x,vel_y,vel_z,bearing,bearing_vel,elevation,track_id,uav_category
1970-01-01 00:00:00,249.54350559505838,310.01751852764164,401.3216790121206,-7.45475103806632,-10.639149209413064,-1.4565145129332675,6.064968774022562,-0.0023947420702418,0.0997553624677438,0,LSS
1970-01-01 00:00:01,249.77230719054717,307.28408563624,404.626828936875,-7.005391494910533,-10.280909382270952,-1.1844078052263463,6.064876274852345,-0.002266538648887422,0.10064385617022441,0,LSS
1970-01-01 00:00:02,250.00110878603584,304.5506527448383,407.9319788616293,-6.556031951754747,-9.922669555128842,-0.912301097519425,6.064783775682128,-0.0021383352275330444,0.10153234987270501,0,LSS
1970-01-01 00:00:03,250.22991038152463,301.8172198534362,411.23712878638366,-6.106672408598961,-9.56442972798673,-0.6401943898125037,6.064691276511911,-0.0020101318061786664,0.10242084357518562,0,LSS
1970-01-01 00:00:04,250.4587119770133,299.08378696203454,414.542278711138,-5.657312865443175,-9.206189900844617,-0.3680876821055825,6.064598777341694,-0.0018819283848242887,0.10330933727766622,0,LSS
1970-01-01 00:00:05,250.6875135725021,296.3503540706329,417.84742863589236,-5.207953322287389,-8.847950073702505,-0.09598097439866127,6.064506278171478,-0.001753724963469911,0.10419783098014683,0,LSS
1970-01-01 00:00:06,250.91631516799077,293.6169211792312,421.1525785606467,-4.758593779131603,-8.489710246560392,0.1761257333082602,6.06441377900126,-0.001625521542115533,0.10508632468262744,0,LSS
1970-01-01 00:00:07,251.14511676347956,290.8834882878291,424.45772848540105,-4.309234235975817,-8.131470419418282,0.44823244101518145,6.064321279831043,-0.0014973181207611555,0.10597481838510804,0,LSS
1970-01-01 00:00:08,251.37391835896824,288.15005539642743,427.7628784101554,-3.85987469282003,-7.773230592276169,0.7203391487221025,6.064228780660827,-0.0013691146994067776,0.10686331208758865,0,LSS
1970-01-01 00:00:09,251.60271995445703,285.41662250502577,431.0680283349097,-3.410515149664244,-7.414990765134057,0.9924458564290239,6.06413628149061,-0.0012409112780523998,0.10775180579006925,0,LSS
1970-01-01 00:00:10,251.86518855907252,282.6763233215788,434.3722399383922,-2.9606597814942957,-7.056659594741514,1.2638115728025503,6.064051688940939,-0.001112563813843445,0.10864050881212717,0,LSS
1970-01-01 00:00:11,256.9035834994987,278.9619873627021,437.5433433926867,-2.4404677898905534,-6.685370675898683,1.430061922068695,6.065088711832493,-0.0009637827536453064,0.1095589054395219,0,LSS
1970-01-01 00:00:12,261.94197843992504,275.24765140382533,440.71444684698116,-1.9202757982868108,-6.314081757055852,1.5963122713348394,6.0661257347240465,-0.0008150016934471678,0.11047730206691664,0,LSS
1970-01-01 00:00:13,266.98037338035124,271.5333154449486,443.88555030127566,-1.4000838066830685,-5.9427928382130215,1.7625626206009841,6.0671627576156,-0.0006662206332490293,0.11139569869431136,0,LSS
1970-01-01 00:00:14,271.8983359728876,267.83557719138753,447.07735784724474,-0.8945996539758209,-5.56586101785642,1.930321309222343,6.068171031758401,-0.0005207857990649385,0.11231809936160532,0,LSS
1970-01-01 00:00:15,261.94014809794487,266.222492377849,452.8297333481952,-2.2020588960398473,-4.493698344464625,2.2836855775138116,6.065630108651313,-0.0007878089700404596,0.11373485834734652,0,LSS
1970-01-01 00:00:16,257.1251136515418,266.9985498729634,457.9801386609219,-2.538749998152415,-3.8240478012781516,2.5089046985349137,6.064490533853886,-0.0008330377088175223,0.1149597432576189,0,LSS
1970-01-01 00:00:17,252.31007920513866,267.77460736807825,463.1305439736486,-2.8754411002649833,-3.154397258091678,2.7341238195560154,6.063350959056458,-0.0008782664475945849,0.11618462816789128,0,LSS
1970-01-01 00:00:18,247.49504475873562,268.55066486319265,468.28094928637535,-3.212132202377551,-2.484746714905205,2.9593429405771174,6.06221138425903,-0.0009234951863716475,0.11740951307816365,0,LSS
1970-01-01 00:00:19,242.68001031233257,269.32672235830705,473.431354599102,-3.548823304490119,-1.8150961717187317,3.184562061598219,6.061071809461603,-0.0009687239251487101,0.11863439798843603,0,LSS
1970-01-01 00:00:20,237.8649758659294,270.1027798534219,478.5817599118287,-3.885514406602687,-1.1454456285322587,3.409781182619321,6.059932234664175,-0.0010139526639257727,0.11985928289870841,0,LSS
1970-01-01 00:00:21,233.04994141952636,270.8788373485363,483.73216522455544,-4.2222055087152555,-0.4757950853457853,3.635000303640423,6.0587926598667465,-0.0010591814027028352,0.12108416780898078,0,LSS
1970-01-01 00:00:22,228.2349069731232,271.65489484365116,488.88257053728216,-4.558896610827823,0.19385545784068814,3.860219424661525,6.057653085069319,-0.001104410141479898,0.12230905271925316,0,LSS
1970-01-01 00:00:23,223.3122464135182,271.79033008263787,493.864575269251,-4.993297694299109,0.9347329389828407,4.092204656568859,6.05645034940877,-0.0011696345853566444,0.12351053665525763,0,LSS
1970-01-01 00:00:24,212.3611385856152,235.4875787165215,489.2322326836249,-10.94517770914244,5.681857559745173,4.698932510417088,6.051677792575065,-0.0023649210652399873,0.12337285909025875,0,LSS
1970-01-01 00:00:25,211.47244648084882,230.41884395967236,490.9604652670293,-10.057412668109631,4.627898827037213,4.453807538563823,6.0511581989413346,-0.002209375826299471,0.12395640349707185,0,LSS
1970-01-01 00:00:26,210.58375437608242,225.35010920282275,492.6886978504337,-9.169647627076822,3.573940094329254,4.208682566710559,6.050638605307604,-0.0020538305873589553,0.12453994790388496,0,LSS
1970-01-01 00:00:27,209.69506227131603,220.28137444597314,494.4169304338381,-8.281882586044013,2.5199813616212947,3.9635575948572948,6.050119011673874,-0.0018982853484184395,0.12512349231069805,0,LSS
