Unnamed: 0,time(millisecond),datetime(utc),lat,lon,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,time,alt,Planename,uav_category,x,y,z,vel_x,vel_y,vel_z,track_id
953,144182,29/09/2020 12:00,51.52365565,5.870450888,163.7926562,158.8713962,87.3359608,262.3348191,0,18.57096403,3077.057185,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,238.7,5.9,-0.6,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,262.3348191,163.7926562,6,P-GPS,,2020-09-29 14:00:00,79.95965286,Parrot,Fixed-Wing,2097.5046628929626,1265.8359357860204,79.48979460475266,-8.917576662099993,-6.50820572117445,-0.36800606339699715,0
960,145279,29/09/2020 12:00,51.52360991,5.870353671,163.0643097,159.2913437,86.1876668,261.6064726,0,18.62997451,3049.73763,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,237.3,5.6,0.6,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,261.6064726,163.0643097,6,P-GPS,,2020-09-29 14:00:00,79.73765285,Parrot,Fixed-Wing,2090.759298159748,1260.7440933844541,79.27101376824112,-4.227097036375823,-3.190889266427624,-0.13710271604439156,0
970,147000,29/09/2020 12:00,51.52351689,5.870159826,163.5925249,163.1988241,82.8084016,262.1346879,0,19.06029466,2994.973849,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,234.9,6.0,0.4,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,262.1346879,163.5925249,6,P-GPS,,2020-09-29 14:00:00,79.89865286,Parrot,Fixed-Wing,2077.309676135013,1250.3892321507478,79.43843882951171,-8.428433398298951,-6.489049141783574,0.10491974982866416,0
976,147809,29/09/2020 12:00,51.52351689,5.870159826,164.0190341,163.6253333,82.8084016,262.5611971,0,19.19379524,2994.973849,15,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,234.5,5.2,0.8,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,262.5611971,164.0190341,6,P-GPS,,2020-09-29 14:00:00,80.02865286,Parrot,Fixed-Wing,2077.3097183875584,1250.3892576504145,79.56843882018836,2.647827309824804e-05,1.5979797926643562e-05,0.08146669558315843,0
992,150021,29/09/2020 12:01,51.52336835,5.869867797,163.8713963,165.5774331,80.708664,262.4135593,0,20.0453983,2911.112298,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.342164,-1.565858,0.223694,236.3,4.2,3.3,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,262.4135593,163.8713963,6,P-GPS,,2020-09-29 14:01:00,79.98365286,Parrot,Fixed-Wing,2057.047939086676,1233.8544910398423,79.53321399472065,-12.697387112771603,-10.361791496989621,-0.022074233378103183,0
995,150605,29/09/2020 12:01,51.52336835,5.869867797,163.7204777,165.4265145,80.708664,262.2626406,0,20.26231437,2911.112298,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,236.4,5.8,1.7,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,262.2626406,163.7204777,6,P-GPS,,2020-09-29 14:01:00,79.93765286,Parrot,Fixed-Wing,2057.0479242816346,1233.8544821365138,79.48721399814372,-9.277829806216275e-06,-5.579421595738743e-06,-0.02882667682093019,0
1013,153040,29/09/2020 12:01,51.52321796,5.869555054,163.2185092,158.9206088,86.7126012,261.7606721,0,20.23166829,2822.864264,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.342164,-1.565858,0.0,236.5,6.0,4.6,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,261.7606721,163.2185092,6,P-GPS,,2020-09-29 14:01:00,79.78465285,Parrot,Fixed-Wing,2035.3483839416572,1217.113369937654,79.34437945880893,-13.598384415029837,-10.491101454155434,-0.08950968284059686,0
1017,153814,29/09/2020 12:01,51.52321796,5.869555054,163.2513176,158.9534172,86.7126012,261.7934805,0,20.06190691,2822.864264,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,237.1,5.9,3.3,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,261.7934805,163.2513176,6,P-GPS,,2020-09-29 14:01:00,79.79465285,Parrot,Fixed-Wing,2035.3483871261947,1217.1133718464152,79.35437945848139,1.995644345582371e-06,1.1961575951142718e-06,0.006266669135186549,0
1034,156069,29/09/2020 12:01,51.52307732,5.869245238,164.2585354,154.9409498,91.7322864,262.8006984,0,19.02506285,2736.906256,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,238.7,4.0,3.1,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,262.8006984,164.2585354,6,P-GPS,,2020-09-29 14:01:00,80.10165286,Parrot,Fixed-Wing,2013.8515718696137,1201.4573023692205,79.67115904854347,-13.471343308563862,-9.8111410584622,0.19851529447209773,0
1040,157067,29/09/2020 12:01,51.52303326,5.869143164,164.6883255,155.2395063,91.86352,263.2304884,0,19.22750592,2708.976465,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,239.7,3.6,4.3,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,263.2304884,164.6883255,6,P-GPS,,2020-09-29 14:01:00,80.23265287,Parrot,Fixed-Wing,2006.7689707572058,1196.5524229749199,79.80530935351089,-4.438431924173256,-3.0737257318847373,0.08406756031507573,0
